Date,Open,High,Low,Close,Adj Close,Volume
2018-06-20,43.509998,44.790001,42.570000,42.820000,39.140263,59129000
2018-06-21,43.180000,43.840000,42.980000,43.099998,39.396191,32635100
2018-06-22,43.200001,44.299999,43.160000,44.099998,40.310257,29735100
2018-06-25,43.570000,44.470001,43.490002,44.279999,40.474789,24640500
2018-06-26,44.459999,44.849998,44.369999,44.410000,40.593628,20717500
2018-06-27,44.570000,44.740002,43.439999,43.450001,39.716133,26360100
2018-06-28,43.509998,44.020000,43.360001,43.840000,40.072605,20918400
2018-06-29,44.040001,44.529999,43.750000,44.060001,40.273708,22144900
2018-07-02,43.959999,44.970001,43.770000,44.950001,41.087219,20655500
2018-07-03,44.990002,44.990002,44.520000,44.720001,40.876987,16783300
2018-07-05,45.150002,45.470001,44.990002,45.410000,41.507694,21916200
2018-07-06,45.459999,46.189999,45.270000,46.000000,42.046986,20764300
2018-07-09,46.130001,46.790001,46.060001,46.730000,42.714252,25125700
2018-07-10,46.830002,47.360001,46.680000,46.990002,42.951916,27422000
2018-07-11,46.820000,47.759998,46.709999,47.639999,43.546055,22802600
2018-07-12,47.790001,48.200001,47.750000,48.150002,44.012226,24857900
2018-07-13,47.970001,48.810001,47.830002,48.630001,44.450977,25771400
2018-07-16,48.619999,48.619999,47.950001,48.459999,44.469330,22949600
2018-07-17,48.290001,48.990002,48.150002,48.900002,44.873100,18823100
2018-07-18,48.790001,49.000000,48.400002,48.639999,44.634499,19234700
2018-07-19,48.400002,48.720001,48.209999,48.439999,44.450974,16656500
2018-07-20,48.490002,48.709999,48.360001,48.520000,44.524391,17232900
2018-07-23,48.619999,48.669998,48.049999,48.669998,44.662033,17990200
2018-07-24,48.750000,49.099998,48.560001,48.669998,44.662033,19885500
2018-07-25,48.520000,48.970001,48.500000,48.950001,44.918972,16354900
2018-07-26,48.849998,49.169998,48.759998,48.869999,44.845566,15229900
2018-07-27,48.990002,49.119999,48.380001,48.630001,44.625336,14856100
